time,san_sm,san_bas_minus_sm
2000,5794.11,2956.04
2001,5896.49,3048.58
2002,6018.89,3070.68
2003,6072.71,3065.44
2004,6136.54,3051.92
2005,6224.27,3112.67
2006,6372.22,3203.08
2007,6447.28,3186.86
2008,6547.08,3238.29
2009,6712.89,3231.13
2010,6801.57,3202.64
2011,6891.62,3172.32
2012,6981.14,3141.75
2013,7062.84,3117.69
2014,7144.25,3093.03
2015,7174.68,3024.13
2016,7256.99,2996.18
2017,7262.57,2944.54
2018,7251.69,2908.55
2019,7266.99,2762.76
2020,7291.98,2683.39
