time,valueA,valueB,valueC
2000,5.31,10.0,11.15
2001,5.36,10.01,10.7
2002,5.39,9.78,10.32
2003,5.46,9.63,10.01
2004,5.51,9.47,9.71
2005,5.49,9.22,9.39
2006,5.46,8.97,8.96
2007,5.46,8.77,8.69
2008,5.48,8.52,8.34
2009,5.45,8.27,7.98
2010,5.45,8.08,7.7
2011,5.45,7.89,7.42
2012,5.45,7.7,7.14
2013,5.45,7.52,6.87
2014,5.45,7.34,6.6
2015,5.48,7.21,6.36
2016,5.49,7.05,6.09
2017,5.53,6.94,5.87
2018,5.58,6.83,5.65
2019,5.62,6.76,5.42
2020,5.64,6.69,5.23
