Year,Deathrate
1990,3.27
1991,3.2
1992,3.13
1993,3.05
1994,2.94
1995,2.89
1996,2.77
1997,2.65
1998,2.55
1999,2.45
2000,2.38
2001,2.29
2002,2.2
2003,2.1
2004,2.03
2005,1.99
2006,1.95
2007,1.91
2008,1.87
2009,1.83
2010,1.77
2011,1.75
2012,1.7
2013,1.66
2014,1.62
2015,1.6
2016,1.57
2017,1.55
2018,1.5
2019,1.45
