location,continent,total_cases,new_cases,total_tests,total_vaccinations,people_vaccinated,total_boosters,stringency_index,population_density,gdp_per_capita
Denmark,Europe,1313400.9165170556,2915.2602739726026,27482511.04088785,9251397.63196126,3745993.1464891043,2195116.560264901,35.985302325581394,136.52,46682.515
Djibouti,Africa,10900.766910420476,13.421727972626176,292099.1304347826,199920.25454545455,180507.7142857143,,40.61886511627907,41.285,2705.406
Dominica,North America,6181.141544117647,13.481608212147135,194216.95652173914,46294.03921568627,24897.69,3700.7894736842104,40.61938604651162,98.567,9673.367
Dominican Republic,North America,364380.8313796213,565.3105218135158,1159906.9942418425,12754601.633165829,6190244.361809045,1818666.3346456692,45.92154418604652,222.873,14600.860999999999
Ecuador,South America,532398.6486486486,918.3347639484979,1261060.1564792176,20886693.76297578,10100714.43598616,4666519.652173913,50.2725023255814,66.939,10581.936
Egypt,Africa,299464.9538598048,441.22497861420015,7016298.333333333,49021460.17699115,27686059.654545456,6356771.133333334,44.118372093023254,97.999,10550.206
El Salvador,North America,105024.3250915751,172.61334473909324,813799.7389312977,5511670.870967742,2893195.62295082,951198.6756756756,42.21842790697674,307.811,7292.457999999999
England,Europe,,,,97906857.41466498,39293103.57794677,37740118.4536862,,,
Equatorial Guinea,Africa,10593.975409836066,14.653550042771599,254301.7435897436,336032.125,193075.64556962025,3957.0,,45.194,22604.873
Eritrea,Africa,5776.945871559633,8.715996578272028,23693.0,,,,,44.304,1510.459
Estonia,Europe,265677.8626570916,526.7125748502993,1374486.61971831,1490190.3250620347,690866.6736972705,303853.64491844416,32.671851162790695,31.033000000000005,29481.252
Eswatini,Africa,39551.69581056466,63.57827202737382,531786.96,341853.6883116883,244745.30263157896,120953.13333333333,49.532734883720934,79.492,7738.975
Ethiopia,Africa,295319.456284153,427.86056458511547,1985332.9682539683,6936379.888888889,5994161.811538462,1025592.6666666666,45.917172093023254,104.957,1729.927
Faeroe Islands,Europe,13452.529305680793,29.647562018819503,712331.4838709678,55561.43870967742,28410.92258064516,18337.115384615383,28.08672558139535,35.308,
Falkland Islands,South America,570.0836431226766,1.6449957228400343,,2360.5,1778.5,,,,
Fiji,Oceania,34050.07502287283,58.93755346449957,125473.14604810996,1176715.06,594333.8484848485,155474.88,55.07908837209302,49.562,8702.975
Finland,Europe,466930.56678082194,1253.1207191780823,4744452.972781065,9371237.716981132,3638991.5871559633,2644381.9593495936,36.18257674418604,18.136,40585.721
France,Europe,13733815.917247387,33036.209760273974,108493422.25684485,105161051.88929889,43441018.9901599,24129357.159642402,43.09853953488372,122.578,38605.671
French Guiana,South America,46181.318264014466,83.86740804106074,,,,,,,
French Polynesia,Oceania,39187.546279491835,66.7895637296835,,239695.7,116521.84285714285,92687.78571428571,,77.324,
Gabon,Africa,29016.638762511375,41.89991445680069,1325475.2602739725,235256.17460317462,129139.0,2140.5625,47.99232558139535,7.859,16562.413
Gambia,Africa,7811.756633119853,10.776732249786143,113294.03896103895,288084.9512195122,221101.14285714287,17821.85714285714,33.52602790697675,207.566,1561.767
Georgia,Asia,819229.7049327354,1565.458511548332,5650205.013544018,1660760.4097222222,935043.9581881533,80818.0,45.29059534883721,65.032,9745.079
Germany,Europe,11985808.543664383,32770.71061643836,56176681.18644068,130339400.06642066,51784894.87330873,39057159.877400294,46.97628837209302,237.016,45229.245
Ghana,Africa,108535.43181818182,146.51924721984602,918668.8809980806,8912897.49122807,5881489.1,1415705.4642857143,43.41323720930233,126.719,4227.63
Gibraltar,Europe,9054.26420198377,17.503849443969205,524659.75,73259.80384615385,33765.51361867704,20574.34234234234,,3457.1,
Greece,Europe,1830107.2405745063,5055.691189050471,15107963.278592376,15219932.964646464,6241291.837121212,5163959.716878403,54.10451162790697,83.479,24574.382
Greenland,North America,4787.0676416819015,10.240376390076989,,47799.023255813954,27330.65625,,31.381627906976743,0.137,
Grenada,North America,7582.204775022957,16.834901625320786,156649.84,61059.42307692308,32182.30769230769,6564.377777777778,29.435287356321837,317.132,13593.877
Guadeloupe,North America,77838.49407474931,172.69974337040205,,,,,,,
Guam,Oceania,21295.23196347032,43.5688622754491,126128.80458383595,,,,,304.128,
Guatemala,North America,533690.2433910666,1060.7816780821918,1323064.0108108108,7678404.100244499,4174329.5647921762,2209337.159090909,54.49924651162791,157.834,7423.807999999999
Guernsey,Europe,11300.765398550724,30.059024807527802,,97269.59130434782,33140.09090909091,62601.0,,,
Guinea,Africa,24929.46083788707,32.74593669803251,683095.7857142857,2348090.9298245613,1427964.0584795321,147738.88235294117,53.79129302325581,51.755,1998.926
Guinea-Bissau,Africa,5394.84438305709,7.664670658682635,134547.91304347827,358337.08,334145.34,497.0,,66.191,1548.675
Guyana,South America,34377.77434030937,62.5235243798118,289503.0,575178.5714285715,345960.4621212121,52932.02127659575,53.20850232558139,3.952,7435.047
Haiti,North America,20548.295142071493,29.25748502994012,191747.0,169161.56097560975,119510.08536585367,,45.01238139534883,398.448,1653.173
Honduras,North America,277621.2918181818,404.3904109589041,,7713774.095744681,3566758.6875,2757172.025,64.07542325581396,82.805,4541.795
Hong Kong,Asia,,,15606338.290322581,12423851.891855808,5037436.08811749,2949538.068115942,59.16669793621013,7039.714,56054.92
Hungary,Europe,1046382.4896115628,1879.190761334474,3774509.573508006,5473546.18404908,4751045.260416667,2918890.773869347,35.77410232558139,108.043,26777.561
Iceland,Europe,75285.71402877697,178.928999144568,487039.796912114,365792.8450704225,185119.29577464788,138787.35714285713,31.112120930232557,3.404,46482.958
India,Asia,25743655.983362522,38362.841201716736,366022136.2728395,1353358173.8678756,721414637.599741,124840181.37470166,58.995581395348836,450.419,6426.674
Indonesia,Asia,3369028.0063063065,5775.5227077977725,27321915.85714286,167992400.77850878,100566384.448,30880166.09090909,55.41401860465116,145.725,11188.744
Iran,Asia,4151417.6666666665,6486.238869863014,18915977.180851065,111642544.21910113,51537600.687150836,22274878.734848484,60.49586976744186,49.831,19082.62
Iraq,Asia,1453803.4762757386,2109.1060735671513,7718773.731793961,12166258.561797753,7866965.6625,214197.3125,59.520930232558136,88.125,15663.985999999999
Ireland,Europe,731550.6696669667,1458.0855431993157,5308394.460144928,7867735.703656998,3266482.8121059267,2610626.521072797,43.50838139534884,69.874,67335.293
Isle of Man,Europe,15118.431318681318,32.51325919589392,,109917.53383458647,54853.23529411765,49812.153846153844,,147.872,
Israel,Asia,2012520.01875,4115.304794520548,18668403.030444965,14884511.120049505,6004815.304455445,4579801.016286645,44.12897674418605,402.606,33132.32
Italy,Europe,8963221.797025371,22035.660361134996,74616634.26266195,98038536.37960687,40089028.03931204,34314141.577617325,53.30565581395349,205.859,35220.084
Jamaica,North America,75952.20090909091,132.0923866552609,403296.157712305,1183046.6456953643,690168.5112540193,34457.565217391304,55.42737674418605,266.879,8193.571
Japan,Asia,6507961.121761658,28541.932363013697,15507505.869515011,220891440.16464236,83399760.76788124,91800076.1656051,41.10778604651163,347.778,39002.223
Jersey,Europe,24033.157272727272,56.792985457656115,,186637.47727272726,76733.40909090909,55393.83720930233,,,
Jordan,Asia,902567.9306306306,1494.437125748503,7032024.671641791,6213946.896713615,3361443.7311320757,657155.625,42.33813953488372,109.285,8337.49
Kazakhstan,Asia,795678.2784349408,1284.0693493150684,4408522.109619686,12072151.27946128,7623428.643652561,2384794.9444444445,52.24228837209302,6.681,24055.588
Kenya,Africa,203434.73132969034,293.3644140290847,939148.3602941176,7042446.9655172415,3530481.962184874,402094.88636363635,52.551386046511624,87.324,2993.028
Kiribati,Oceania,3387.3981042654027,4.289136013686912,,113137.57692307692,64790.653846153844,17417.636363636364,25.68580465116279,143.701,1981.132
Kosovo,Europe,140499.864422202,233.87681779298546,1251402.2127659575,1569750.4731182796,804446.0067264574,98944.0602006689,49.34569302325582,168.155,9795.834
Kuwait,Asia,373622.11369740375,570.3030042918455,2716838.9698340874,6897052.117021277,3253528.6511627906,1353015.0344827587,50.59543255813953,232.128,65530.53699999999
Kyrgyzstan,Asia,134911.27787934185,176.8520102651839,,2637276.9401408453,1346851.5649819495,,47.05870697674418,32.333,3393.474
Laos,Asia,86063.7497700092,186.50384944396922,456798.3582089552,5032040.805309734,2765826.1181102362,,47.183497674418604,29.715,6397.36
Latvia,Europe,377446.74324324325,835.245508982036,2792620.3846153845,1609120.7909407665,828586.1445993031,180606.57761732853,36.13030697674419,31.212,25063.846
Lebanon,Asia,627837.0625,1054.9461077844312,4333816.0,2894881.7242990653,1579721.2202970297,495743.55555555556,52.87627906976744,594.561,13367.565
Lesotho,Africa,19632.95949855352,29.503849443969205,440259.347826087,704330.5,612891.68,118444.72727272728,44.75316279069767,73.562,2851.153
Liberia,Africa,4673.624657534247,6.927226027397261,139824.0,1463800.5405405406,1353192.972972973,1935.642857142857,46.011358139534885,49.127,752.788
Libya,Africa,286978.1113155474,433.8759623609923,,2463476.0803571427,1705690.7589285714,103980.47916666667,57.88498604651163,3.623,17881.509
Liechtenstein,Europe,8246.666366095582,18.352437981180497,36126.17725752509,43329.45977011494,19318.68275862069,15419.85641025641,33.64828837209302,237.012,
Lithuania,Europe,554771.4573225516,1122.268209083119,3667728.3284671535,3270313.697211155,1534480.7038512616,542782.2242857143,36.723051162790696,45.135,29524.264999999996
Luxembourg,Europe,129439.14234234234,272.55479452054794,2312094.2195985834,939434.3847222222,385415.1666666667,249317.52777777778,38.41796279069767,231.447,94277.965
Macao,Asia,,,,849292.0675675676,436441.88636363635,240356.74396135265,35.93757225433526,20546.766,104861.851
Madagascar,Africa,40960.560550458715,58.11890504704876,145929.26353790614,1302140.9056603773,1138950.596491228,86517.36363636363,39.03959069767441,43.951,1416.44
Malawi,Africa,51201.15120593692,75.95034246575342,141852.3729903537,1293148.4379562044,965899.4723247233,236346.25,43.194706976744186,197.519,1095.042
Malaysia,Asia,2098105.032286213,4326.922813036021,19369939.835990887,51489384.25165563,21713383.8397351,12745498.849823322,50.09556279069768,96.254,26808.164
Maldives,Asia,91292.75294117647,159.30703259005145,813427.1424501424,580597.1855955679,321451.0443213296,86050.99065420561,,1454.433,15183.615999999998
Mali,Africa,17919.65561694291,28.286569717707444,680773.2,1709425.6623376624,1260753.0,,38.275637209302324,15.196,2014.306
Malta,Europe,51364.87793851718,100.89888603256213,1041775.8762446657,956826.4089012517,392245.8147632312,458762.4487179487,40.68048372093023,1454.037,36513.323
Marshall Islands,Oceania,3725.9321058688147,13.386655260906759,312.3636363636364,,,,,295.15,3819.202
Martinique,North America,81507.54347826086,195.9110350727117,,,,,,,
Mauritania,Africa,34330.867941712204,54.361301369863014,267483.39520958083,1458492.7105263157,1024579.1162790698,198110.75,36.973423255813955,4.289,3597.633
Mauritius,Africa,101172.64958828912,253.24379811804963,974974.3333333334,1845963.677419355,831553.4333333333,608390.9375,34.9762976744186,622.962,20292.745
Mayotte,Africa,22404.3014571949,36.711472602739725,,,,,,,
Mexico,North America,3628329.649687221,6419.976863753213,6365760.998888889,80852333.27228916,45943680.76600985,52594355.73913044,45.11731162790698,66.444,17336.469
Micronesia (country),Oceania,13146.96319018405,20.697177074422584,,,,,,150.777,3299.464
Moldova,Europe,313753.05520361994,526.9407725321888,,1250003.173611111,363286.3333333333,346974.375,41.966679069767444,123.655,5189.972
Monaco,Europe,6134.956834532374,13.797262617621898,,33357.846153846156,19238.583333333332,10598.0,37.323339534883715,19347.5,
Mongolia,Asia,449097.23956442834,862.1958939264329,3090052.6044568247,3865411.1639344264,1877196.012539185,991639.8023255814,43.87631627906977,1.98,11840.846
Montenegro,Europe,141645.9607305936,247.4888698630137,,463948.79793814436,219716.85773195876,95322.35981308411,,46.28,16409.288
Montserrat,North America,386.128087831656,1.2001710863986312,,3292.653846153846,1637.1346153846155,512.9444444444445,,,
Morocco,Africa,730245.2855855856,1088.5594525235244,5200850.776,27463715.265232977,14945799.748091603,6516366.619047619,54.84648372093023,80.08,7485.013000000001
Mozambique,Africa,127000.35537190082,199.49871685201026,433800.9756493507,8574433.0,6913177.75,534908.8965517242,44.69516279069768,37.728,1136.103
Myanmar,Asia,348341.60018382355,542.3156544054748,2198966.3136531366,33448101.818181816,18830050.833333332,1418472.2352941176,64.97950697674419,81.721,5591.597
Namibia,Africa,96355.31996353692,146.45680068434558,401652.28438948997,294283.76470588235,202748.76136363635,120391.05555555556,35.90220465116279,3.078,9541.808
Nauru,Oceania,3526.809798270893,4.520102651839179,,13727.666666666666,7361.333333333333,5510.2,,682.45,12895.635
Nepal,Asia,574888.276762402,857.1703767123288,2729420.2977893366,24150217.680851065,13049037.821052631,3985596.1550387596,52.74498604651163,204.43,2442.804
Netherlands,Europe,3682990.659478886,7367.065924657534,13969665.834666668,22002668.24137931,9745636.48275862,6847516.104166667,43.734911627906975,508.544,48472.545
New Caledonia,Oceania,27082.232387923148,68.46193327630453,,310029.35714285716,139300.56842105262,95593.4,,15.342,
New Zealand,Oceania,534046.7475292004,1875.327615780446,2172494.3943217667,7704209.390309555,3170522.790040377,1730500.3705799151,35.50019534883721,18.206,36085.843
Nicaragua,North America,9360.346153846154,13.406330196749359,187912.18181818182,9061002.431578947,4804147.042553191,2976531.0,11.555302325581396,51.667,5321.444
Niger,Africa,5834.857273559011,8.137724550898204,237662.6551724138,2334301.3902439023,1922476.5238095238,,21.683088372093025,16.955,926.0
Nigeria,Africa,170793.71133093524,228.09324208725405,1137039.2961672475,16645427.129770992,11396541.656488549,3363109.6818181816,41.577841860465114,209.588,5338.454
Niue,Oceania,197.55913978494624,0.6390076988879384,,2266.0,995.8333333333334,1157.0,,,
North Korea,Asia,,0.0,58801.90625,,,,,211.701,
North Macedonia,Europe,183709.49506726456,296.99059024807525,498532.5770020534,947571.1695906433,485047.26875,95739.23333333334,,82.6,13111.214
Northern Cyprus,Asia,,,,257417.66666666666,142994.45833333334,55148.0,,,
Northern Ireland,Europe,,,,3012089.329787234,1197515.3279220778,757847.996226415,,,
Northern Mariana Islands,Oceania,4833.15988909427,11.675791274593669,32323.12271973466,,,,,119.87800000000001,
Norway,Europe,586528.2060660125,1265.8220701454234,5321128.215782984,7397237.345272207,3216165.4369627507,1698620.1853741496,36.326102325581395,14.462000000000002,64800.057
Oman,Asia,247330.65949820788,341.9974315068493,2001401.0,2091912.1958762887,914017.1555555556,707850.2666666667,47.18179534883721,14.979999999999999,37960.709
Pakistan,Asia,975823.4349775785,1349.6142001710864,10715132.322533136,183653988.92937854,100502622.04069768,25977266.15075377,53.27613953488372,255.573,5034.708
Palau,Oceania,3694.2136602451837,5.127459366980325,52363.82352941176,,,,,47.237,13240.405
Palestine,Asia,385172.38934056007,601.5637296834901,,1403305.8505747127,790393.1666666666,229709.95652173914,52.64634418604651,778.202,4449.898
Panama,North America,512255.66485013627,886.0403433476395,2439324.7994923857,4293520.014814815,1953488.015037594,1307908.9552238807,50.945702325581394,55.133,22267.037
Papua New Guinea,Oceania,23254.773602199817,40.056458511548335,249149.0,443058.7794117647,244062.48529411765,29084.652173913044,46.08179534883721,18.22,3823.194
Paraguay,South America,391574.04533091566,629.3917878528657,1021678.6787634408,2897029.356321839,1422260.3185483871,1305732.4833333334,44.5332,17.144,8827.01
Peru,South America,2283533.4588235295,3842.6875,11343546.385674931,51994825.474642396,20879313.054616384,18218136.458733205,54.66253953488373,25.129,12236.706
Philippines,Asia,2021038.2445223487,3491.5556506849316,12197108.965699209,62788987.28125,24742196.365671642,11281225.208333334,59.62429767441861,351.873,7599.188
Pitcairn,Oceania,4.0,0.003421727972626176,,77.5,47.0,23.0,,,
Poland,Europe,3329555.247292419,5532.850171232877,15680071.285714285,41876545.80667594,18494113.176718093,11962713.464968152,40.56962790697674,124.027,27216.445
Portugal,Europe,2192944.0954954955,4782.733905579399,14002798.810449574,17789367.327433627,7656267.123893805,3685570.5535714286,44.55382325581395,112.371,27936.896
Puerto Rico,North America,371999.8056312443,943.869006849315,1087177.0929678187,,,,,376.232,35044.67
Qatar,Asia,256621.2167266187,424.4006849315069,3992250.6304347827,4636928.951834862,1989520.923076923,1530744.0571428572,53.51575813953489,227.322,116935.6
Reunion,Africa,175392.89990900818,423.0923866552609,,,,,,,
Romania,Europe,1597390.7479820629,2877.5587982832617,7521752.394230769,10367642.849340865,3147991.4763636366,,43.38778604651163,85.129,23313.199
Russia,Europe,9541628.661700264,19225.113869863013,99827142.51462995,105339789.84861407,53064429.32900433,10959436.109848484,42.02199069767442,8.823,24765.954
Rwanda,Africa,71564.73017319964,113.93840889649273,2111870.4992614477,8614276.218390804,3604292.159090909,4033800.75,54.76701395348837,494.869,1854.211
Saint Barthelemy,North America,2264.8339350180504,4.654405474764756,,,,,,,
Saint Helena,Africa,1677.8642533936652,1.8528656971770745,,4038.8333333333335,3263.3333333333335,,,,
Saint Kitts and Nevis,North America,2784.0608294930876,5.643284858853721,52713.52229299363,41973.34210526316,22941.930555555555,2268.6315789473683,,212.865,24654.385
Saint Lucia,North America,12904.702825888788,25.66638152266895,159790.7894736842,78999.32547169812,45616.65625,7399.0,,293.187,12951.839
Saint Martin (French part),North America,5299.705776173285,10.497005988023952,,,,,,590.533,
Saint Pierre and Miquelon,North America,1092.8685927306617,2.9238665526090677,,,,,,,
Saint Vincent and the Grenadines,North America,4496.765241128299,8.378424657534246,96576.35135135135,50911.459854014596,29368.355371900827,3537.1060606060605,,281.787,10727.146
Samoa,Oceania,6172.361676646707,14.052181351582549,,239560.92307692306,123267.82692307692,71792.5,,69.413,6021.557
San Marino,Europe,9319.564240790656,20.242087254063303,,35352.347107438014,14950.858974358975,17500.11111111111,38.76451162790698,556.667,56861.47
Sao Tome and Principe,Africa,3530.5251396648046,5.372968349016253,2323.9,109760.60784313726,73407.02127659574,25403.928571428572,,212.841,3052.714
Saudi Arabia,Asia,523681.14594594593,711.242294520548,19450248.981020167,30832599.71081081,23039025.921487603,4052571.725663717,46.46155348837209,15.321999999999997,49045.411
Scotland,Europe,,,,8567363.384228189,3746488.9865092747,2992078.009375,,,
Senegal,Africa,54237.85135135135,76.07613344739093,490934.4974811083,795395.3392857143,652284.9572649573,289930.7894736842,31.481637209302328,82.328,2470.58
Serbia,Europe,1125413.377034358,2143.9323630136987,4075626.042502952,5044614.164556962,2376952.0970464135,1184143.6545454545,38.05588837209302,80.291,14048.881
Seychelles,Africa,22520.041020966273,43.57313943541489,,119204.96,61697.10784313725,39978.05882352941,46.94580465116279,208.354,26382.287
Sierra Leone,Africa,5285.193518518518,6.638152266894782,410048.625,2333365.9310344825,1702343.4918032787,161470.08333333334,43.56791627906977,104.7,1390.3
Singapore,Asia,642022.4886759582,1920.0996563573883,,9434198.206015037,4031822.496062992,3184003.14004914,44.18006511627907,7915.730999999999,85535.383
Sint Maarten (Dutch part),North America,5280.581501831502,9.438356164383562,,50270.442307692305,25233.46153846154,8864.1,,1209.088,36327.232
Slovakia,Europe,824644.849909584,1596.1926369863013,25021103.098927293,3934228.013333333,1956019.1733333333,266824.13333333336,39.741320930232554,113.12800000000001,30155.152000000002
Slovenia,Europe,524165.56859205774,1142.19948630137,1519944.6381733022,1830676.0371057515,888883.1617100372,355936.23728813557,41.373962790697675,102.619,31400.84
Solomon Islands,Oceania,8879.747203579418,21.02224123182207,,251576.5,163076.05357142858,10012.736842105263,37.26987906976744,21.841,2205.923
Somalia,Africa,16444.981751824816,23.37382378100941,465117.6666666667,2015222.280487805,1631481.7160493827,,30.468772093023254,23.5,
South Africa,Africa,2384745.8318264014,3492.037768240343,11533898.280487806,24970483.52443609,15505730.444874275,3062037.9669966996,44.712,46.754,12294.876
South Korea,Asia,7503853.666088465,26251.908390410958,24124226.941792782,83328169.44801223,35239385.63877822,19590581.896024466,41.571432558139534,527.967,35938.374
South Sudan,Africa,11276.813953488372,15.7125748502994,141394.76136363635,904632.6341463415,868891.0975609756,,40.52258604651163,,1569.888
Spain,Europe,6203411.952627046,11837.170962199312,41747828.21212121,54399016.985250734,27329762.102040816,16173859.829931973,46.312400000000004,93.105,34272.36
Sri Lanka,Asia,348546.5414847162,576.3765008576329,3318214.3,19785007.99742268,10152004.557291666,5769915.836065574,52.06381395348837,341.955,11669.077
